"term","estimate","std_error","z_value","p_value"
"(Intercept)",0.322,0.366,0.881,0.378
"treatmentcontrol",0.222,0.38,0.586,0.558
"treatmenteel",0.708,0.387,1.829,0.067
"lightlight",-0.524,0.364,-1.441,0.15
"periodduring",-0.302,0.36,-0.839,0.402
"periodafter",-1.197,0.565,-2.12,0.034
"time_sc",-0.062,0.172,-0.359,0.72
"treatmentcontrol:lightlight",0.376,0.53,0.71,0.478
"treatmenteel:lightlight",0.148,0.533,0.278,0.781
"treatmentcontrol:periodduring",0.107,0.484,0.22,0.826
"treatmenteel:periodduring",-0.322,0.486,-0.663,0.507
"treatmentcontrol:periodafter",0.912,0.538,1.695,0.09
"treatmenteel:periodafter",0.9,0.542,1.661,0.097
"lightlight:periodduring",-0.575,0.478,-1.203,0.229
"lightlight:periodafter",0.368,0.538,0.684,0.494
"treatmentcontrol:lightlight:periodduring",0.251,0.687,0.366,0.715
"treatmenteel:lightlight:periodduring",0.601,0.684,0.879,0.379
"treatmentcontrol:lightlight:periodafter",-1.93,0.79,-2.443,0.015
"treatmenteel:lightlight:periodafter",-0.72,0.759,-0.949,0.343
